id,slot,quality,icon,attributes,affixes,levelOffset,scalePerLevel,name_zh,name_en,description_zh,description_en
b001_abyss_soul_blade,weapon,legendary,👹,"{""attack"":145,""elemental"":55}","[{""type"":""lifesteal"",""value"":5},{""type"":""damage_bonus"",""value"":12}]",0,0.04,深渊魂刃,Abyss Soul Blade,据说它曾饮尽一整支远征军的灵魂。刀锋常年低鸣，仿佛在渴求新的祭品。持有者能听见来自深渊彼端的呼唤。,"Forged in the echoing dark of the Abyss, this blade hums with the souls it has devoured. Those who wield it hear whispers from beyond the veil."
b002_hydra_venom_crown,helmet,mythic,🐉,"{""hp"":280,""defense"":90,""elemental"":65}","[{""type"":""lifesteal"",""value"":7},{""type"":""thorns"",""value"":18},{""type"":""hp_bonus"",""value"":80}]",0,0.045,九头毒冠,Hydra Venom Crown,由九头蛇的毒腺与鳞甲熔铸而成。传说佩戴者的呼吸都带着腐蚀性的低语，连鲜血都会为之畏惧。,"Crafted from the venom glands and scales of a hydra, the crown exudes a toxic aura. Even blood recoils at its silent corrosion."
f001_slime_carapace,armor,uncommon,🟢,"{""hp"":90,""defense"":30}","[{""type"":""lifesteal"",""value"":2}]",0,0.018,史莱姆甲壳,Slime Carapace,从巨型史莱姆体内剥离的凝胶硬壳。柔韧却难以刺穿，仿佛仍在缓慢地蠕动。,"Harvested from a colossal slime, this gelatinous shell bends yet resists piercing blows, as if still faintly alive."
f002_bone_shiv,weapon,common,💀,"{""attack"":45}",[],0,0.012,碎骨短刃,Bone Shiv,粗糙的骨刃，出自无名掠夺者之手。锋利不持久，却足够致命。,"A crude blade carved from bone. Fragile, but sharp enough to end a life before it splinters."
f003_goblin_fang,weapon,uncommon,👺,"{""attack"":62,""attackSpeed"":8}","[{""type"":""crit_chance"",""value"":2}]",0,0.02,哥布林怪齿,Goblin Fang,由哥布林酋长的尖牙打磨而成，轻巧迅捷，仿佛保留着它原主人的狡诈。,"Shaped from a goblin chieftain’s fang, it strikes swiftly—almost cunningly."
f004_wolf_fang_necklace,necklace,uncommon,🐺,"{""attack"":55,""hp"":60}","[{""type"":""damage_bonus"",""value"":4}]",0,0.018,狼牙项链,Wolf Fang Necklace,来自荒野狼群首领的獠牙。佩戴者仿佛能听见远处的嚎叫。,A fang taken from a wild alpha. Its bearer swears they can hear distant howls on the wind.
f005_spider_silk_boots,boots,rare,🕷,"{""attackSpeed"":22,""defense"":35}","[{""type"":""crit_chance"",""value"":3}]",0,0.022,蛛丝缚足,Spider Silk Treads,以洞穴巨蛛吐丝编织，轻盈如风。行走时几乎不留痕迹。,"Woven from cavern spider silk, these boots leave barely a trace with each step."
f006_stone_pauldron,armor,rare,🪨,"{""defense"":55,""hp"":110}","[{""type"":""thorns"",""value"":6}]",0,0.025,石像肩甲,Stone Golem Pauldron,由石像魔像的碎片锻造。沉重而冷硬，仿佛仍残留着守护的意志。,"Forged from shattered golem stone, it bears the lingering will of a silent guardian."
f007_fire_imp_ring,ring,uncommon,🔥,"{""elemental"":42,""attack"":30}","[{""type"":""damage_bonus"",""value"":4}]",0,0.018,炎魔指环,Fire Imp Ring,小型炎魔的核心结晶，时而泛起微弱火光。触碰时略感灼热。,"A crystallized ember from a fire imp. Warm to the touch, and eager to ignite."
f008_ice_wolf_helmet,helmet,rare,❄️,"{""hp"":100,""defense"":45,""attackSpeed"":10}","[{""type"":""crit_chance"",""value"":3}]",0,0.025,霜狼兽盔,Frost Wolf Helm,以寒霜狼王的头骨重塑而成。呼出的气息似乎也变得寒冷。,"Carved from the skull of a frost wolf alpha, it chills even the wearer’s breath."
